order_id,order_total,order_date,customer_name
ord_00000,1260.34,2026-08-08,Customer 000
ord_00001,1235.17,2026-08-24,Customer 001
ord_00002,2607.67,2026-08-07,Customer 002
ord_00003,2040.02,2026-08-18,Customer 003
ord_00004,831.45,2026-08-19,Customer 004
ord_00005,685.22,2026-08-25,Customer 005
ord_00006,1136.41,2026-08-25,Customer 006
ord_00007,761.41,2026-08-04,Customer 007
ord_00008,1027.17,2026-08-15,Customer 008
ord_00009,2199.19,2026-08-13,Customer 009
ord_00010,1070.59,2026-08-12,Customer 010
ord_00011,3601.98,2026-08-02,Customer 011
ord_00012,1869.71,2026-08-28,Customer 012
ord_00013,186.61,2026-08-21,Customer 013
ord_00014,1962.83,2026-08-23,Customer 014
ord_00015,2439.48,2026-08-20,Customer 015
ord_00016,835.02,2026-08-09,Customer 016
ord_00017,1246.80,2026-08-18,Customer 017
ord_00018,813.48,2026-08-27,Customer 018
ord_00019,4060.62,2026-08-07,Customer 019
ord_00020,504.76,2026-08-16,Customer 020
ord_00021,883.38,2026-08-15,Customer 021
ord_00022,2921.05,2026-08-24,Customer 022
ord_00023,3394.54,2026-08-13,Customer 023
ord_00024,2042.49,2026-08-25,Customer 024
ord_00025,1385.18,2026-08-26,Customer 025
ord_00026,790.61,2026-08-15,Customer 026
ord_00027,941.19,2026-08-28,Customer 027
ord_00028,1204.16,2026-08-25,Customer 028
ord_00029,1019.74,2026-08-04,Customer 029
ord_00030,1437.69,2026-08-24,Customer 030
ord_00031,1461.62,2026-08-06,Customer 031
ord_00032,3009.82,2026-08-17,Customer 032
ord_00033,2560.59,2026-08-25,Customer 033
ord_00034,6347.36,2026-08-20,Customer 034
ord_00035,883.67,2026-08-12,Customer 035
ord_00036,1871.67,2026-08-19,Customer 036
ord_00037,826.49,2026-08-16,Customer 037
ord_00038,3278.77,2026-08-22,Customer 038
ord_00039,1237.61,2026-08-09,Customer 039
ord_00040,337.93,2026-08-25,Customer 040
ord_00041,453.87,2026-08-10,Customer 041
ord_00042,1012.55,2026-08-15,Customer 042
ord_00043,767.74,2026-08-11,Customer 043
ord_00044,1465.54,2026-08-08,Customer 044
ord_00045,1815.19,2026-08-11,Customer 045
ord_00046,1507.75,2026-08-05,Customer 046
ord_00047,3936.07,2026-08-19,Customer 047
ord_00048,1833.95,2026-08-04,Customer 048
ord_00049,403.12,2026-08-14,Customer 049
ord_00050,1215.28,2026-08-04,Customer 050
ord_00051,493.68,2026-08-26,Customer 051
ord_00052,1399.46,2026-08-14,Customer 052
